Customer_Alias,Review_Date,Rating,Review_Title,Review_Text,Theme
R001,2026-06-21,4,Easy to use,"Easy to use, clear overview via the app. Unfortunately, the N26 cannot yet be used as a public transport card.",Technical & App
R002,2026-06-19,5,N26 konto,Clearly my best account with very good service and no hassle at all with us customers,General Positive Feedback
R003,2026-06-18,1,Locked Out of My N26 Account With No Explanation,"I never thought I would be writing this about N26, but here we are.I currently have no access to the funds in my N26 account because my login credentials and even my registered phone number are no longer recognized by N26.The only way I was able to report the issue was by emailing customer support. The next day, they replied asking me to provide my ID and confirm that I consented to sending personal information by email. I did so immediately.Their second email from customer support was telling me to refer to an email allegedly sent to me on 14 April 2026 ¡ª an email I never received. I have checked my inbox, spam, trash - it isn't there. I was also informed that customer support has no further information regarding my case.I honestly cannot believe this. My account is inaccessible, my credentials are no longer recognized, my registered phone number appears to have disappeared from their system, and customer support says they have no further information.What about the funds in my account? How is a customer supposed to access their own money in a situation like this?",Account Access & Security
R004,2026-06-17,1,Customer service non-existence,"After several emails (tel. contact not possible) requesting access to my account, I still have no answer or a response. I need to download bankstatements a.s.a.p. but this is (in my view) not a reliable bank partner.",Customer Service
R005,2026-06-17,1,I lost 2300€ on my bankaccount of N26,"I lost 2300€ on my bankaccount of N26, cause the safety measures of N26 didn't work.N26 didn't refund this loss till now.",Payments & Transactions
R006,2026-06-18,1,N26 uses software to do facial¡­,N26 uses software to do facial recognition.It doesn't appear to support dark skinned applicants.Customer support was rude and unhelpful.Oddly enough their competitor bunq's software worked fine.,Verification & Onboarding
R007,2026-06-17,5,N26 Best among all,"N26 Services are so great, it remains the best Online Banking among all.",Technical & App
R008,2026-06-17,5,The best bank that i have ever used,,General Positive Feedback
R009,2026-06-16,5,"Reliable, Easy to Use, and Great Support","I have been using N26 for quite some time now and my experience has been excellent. Their customer service is always helpful and they do what they promise. I have never had any problems with my card, and everything works smoothly. I can definitely recommend N26 to anyone looking for a reliable and easy-to-use bank.",Customer Service
R010,2026-06-15,5,Worked perfectly for me in New TYork,,General Positive Feedback
R011,2026-06-14,5,I am satisfied with banking service,I am satisfied with banking service. Simple and easy platform which works without flaws. Thank you.,Technical & App
R012,2026-06-14,1,Account inaccessible and no effective customer support,"I opened an N26 account and completed the identity verification process successfully. However, after more than a month, I still cannot access my account. The app only shows the option to open a new account, even though I have already completed the registration process and received confirmation emails.The biggest issue is customer support. If you cannot access the app, there is no practical way to contact a real support agent. The chatbot does not understand the problem and does not connect you with a human representative. I sent emails and had to wait days for a response without receiving a clear solution.A digital bank should provide accessible support channels for customers who are locked out of their accounts. An email address, live chat with a real person, or phone support for account-access issues would greatly improve the customer experience.Unfortunately, my issue remains unresolved, and the lack of effective customer support has been very frustrating.",Account Access & Security
R013,2026-06-13,5,Bestd Bank ever...,Bestd Bank ever...,General Positive Feedback
R014,2026-06-13,1,unauthorized transaction,"In my case, N26 rejected my dispute regarding a card transaction that I did not recognize. The bank stated that the transaction was 3D Secure authenticated but did not provide detailed evidence of the authentication. As a result, my account has a negative balance and cannot be closed. Based on this experience, I would not recommend relying solely on the assumption that a German bank will necessarily provide a higher level of customer protection or transparency",Payments & Transactions
R015,2026-06-13,1,Human support agents answer with AI slop,Horrible. The human support agents just answer with AI slop to serious questions. And the next agent just says (slops) the complete opposite to the one before for the exact same (copy&paste) question. N26 is the living example of enshittification (platform decay). Beside 80% of the app are just ads it's easily the worst banking app I came across the last decade.,Customer Service
R016,2026-06-12,1,Good bank - until is suddenly isn't.,"Good bank ¡ª until it suddenly isn't.I was an N26 customer for years and genuinely liked the product. Clean app, easy transfers, good overview of spending. No complaints whatsoever.Then I went on holiday to Spain, switched to a new iPhone, and forgot to log out from the old one. During the transition I couldn't log into the new device, but continued using my card normally. At a supermarket I received a €4 refund for a faulty product ¡ª a completely routine transaction.Next working day: card blocked.I cooperated fully with N26 ¡ª re-did identity verification, sent screenshots, did everything they asked. A few days later I received an email informing me my account was being permanently cancelled for ""violation of Terms and Conditions"". No specific clause mentioned. No explanation. No chance to respond.So be careful ¡ª everything is fine until their automated system flags you as suspicious. After that, there is no explanation, no reasonable human review, and no way back.",Account Access & Security
R017,2026-06-12,1,Avoid N26 ¨C Unprofessional service and failed delivery,"I am extremely frustrated with my experience with N26. I ordered a card and paid for it, with a promised delivery date of June 8th. It has now been three weeks, and I have received nothing.I am currently in a hotel on a business trip and cannot wait another 10 days for ""standard"" shipping, which is what the support agent suggested. When I asked for an urgent solution, they offered an ""express"" delivery option for an additional 20 EUR. It is unacceptable to be offered an extra-cost service to fix the bank's own failure to deliver the card on time.The support agents have been useless. They kept sending template responses and ignored the fact that I¡¯ve been waiting for weeks. When I refused to pay for express shipping to fix their mistake and demanded a real solution, one agent threatened to close the chat and simply ended the conversation. When I finally demanded to speak with a supervisor, they claimed they don't deliver to hotels and blamed me for the card not arriving-despite the fact that their system accepted the address and payment three weeks ago.This is the worst customer support I have ever experienced. They don't care about their clients-they just offer paid solutions when things go wrong and hide behind scripts. Unprofessional, unhelpful, and completely unreliable.",Customer Service
R018,2026-06-12,5,Very convenient to use,"Very convenient to use. Every money in and out I get notifications. Have complete control on App. Paying for something outside EU, also get instant notifications. Conversion rate is very reasonable. No fee on basic package.",Fees & Charges
R019,2026-06-11,5,All activities thru the internet works¡­,All activities thru the internet works perfect..,General Positive Feedback
R020,2026-06-11,5,I love how easy it is to use and the¡­,"I love how easy it is to use and the extra features i get with the metal card.  Still trying to find out if i can use to send my customers a ""tikkie"" Keep up the great work.",Payments & Transactions
